datetime,timelinux,s3
2022-12-14 14:34:36,1.671028476,101.0
2022-12-14 15:04:35,1.671030275,103.0
2022-12-14 15:34:35,1.671032075,105.0
2022-12-14 16:04:40,1.67103388,104.0
2022-12-14 16:34:35,1.671035675,105.0
2022-12-14 17:04:39,1.671037479,104.0
2022-12-14 17:34:38,1.671039278,104.0
2022-12-14 18:04:37,1.671041077,104.0
2022-12-14 18:34:35,1.671042875,103.0
2022-12-14 19:04:37,1.671044677,102.0
2022-12-14 19:34:33,1.671046473,98.0
2022-12-14 20:04:32,1.671048272,104.0
2022-12-14 20:34:28,1.671050068,106.0
2022-12-14 21:04:27,1.671051867,105.0
2022-12-14 21:34:29,1.671053669,103.0
2022-12-14 22:04:26,1.671055466,105.0
2022-12-14 22:34:26,1.671057266,102.0
2022-12-14 23:04:27,1.671059067,104.0
2022-12-14 23:34:27,1.671060867,105.0
2022-12-15 00:04:27,1.671062667,105.0
2022-12-15 00:34:26,1.671064466,108.0
2022-12-15 01:04:25,1.671066265,107.0
2022-12-15 01:34:25,1.671068065,107.0
2022-12-15 02:04:23,1.671069863,106.0
2022-12-15 02:34:22,1.671071662,107.0
2022-12-15 03:04:25,1.671073465,106.0
2022-12-15 03:34:24,1.671075264,106.0
2022-12-15 04:04:27,1.671077067,106.0
2022-12-15 04:34:30,1.67107887,105.0
2022-12-15 05:04:29,1.671080669,105.0
2022-12-15 05:34:27,1.671082467,103.0
2022-12-15 06:04:29,1.671084269,118.0
2022-12-15 06:34:25,1.671086065,106.0
2022-12-15 07:04:26,1.671087866,101.0
2022-12-15 07:34:26,1.671089666,102.0
2022-12-15 08:04:27,1.671091467,107.0
2022-12-15 08:34:28,1.671093268,104.0
2022-12-15 09:04:25,1.671095065,113.0
2022-12-15 09:34:28,1.671096868,95.0
2022-12-15 10:04:27,1.671098667,100.0
2022-12-15 10:34:31,1.671100471,3.0
2022-12-15 11:04:27,1.671102267,105.0
2022-12-15 11:34:35,1.671104075,106.0
2022-12-15 12:04:34,1.671105874,107.0
2022-12-15 12:34:34,1.671107674,104.0
2022-12-15 13:04:35,1.671109475,100.0
2022-12-15 13:34:32,1.671111272,103.0
2022-12-15 14:04:34,1.671113074,103.0
2022-12-15 14:34:38,1.671114878,117.0
2022-12-15 15:04:36,1.671116676,102.0
2022-12-15 15:34:34,1.671118474,103.0
2022-12-15 16:04:36,1.671120276,103.0
2022-12-15 16:34:35,1.671122075,103.0
2022-12-15 17:04:37,1.671123877,94.0
2022-12-15 17:34:34,1.671125674,105.0
2022-12-15 18:04:34,1.671127474,104.0
2022-12-15 18:34:35,1.671129275,101.0
2022-12-15 19:04:35,1.671131075,100.0
2022-12-15 19:34:30,1.67113287,102.0
2022-12-15 20:04:32,1.671134672,102.0
2022-12-15 20:34:27,1.671136467,97.0
2022-12-15 21:04:27,1.671138267,194.0
2022-12-15 21:34:30,1.67114007,106.0
2022-12-15 22:04:29,1.671141869,105.0
2022-12-15 22:34:28,1.671143668,118.0
2022-12-15 23:04:27,1.671145467,108.0
2022-12-15 23:34:26,1.671147266,106.0
2022-12-16 00:04:28,1.671149068,106.0
2022-12-16 00:34:26,1.671150866,107.0
2022-12-16 01:04:28,1.671152668,106.0
2022-12-16 01:34:24,1.671154464,106.0
2022-12-16 02:04:25,1.671156265,106.0
2022-12-16 02:34:24,1.671158064,107.0
2022-12-16 03:04:24,1.671159864,106.0
2022-12-16 03:34:22,1.671161662,107.0
2022-12-16 04:04:25,1.671163465,106.0
2022-12-16 04:34:23,1.671165263,107.0
2022-12-16 05:04:24,1.671167064,112.0
2022-12-16 05:34:21,1.671168861,98.0
2022-12-16 06:04:22,1.671170662,106.0
2022-12-16 06:34:23,1.671172463,99.0
2022-12-16 07:04:25,1.671174265,99.0
2022-12-16 07:34:25,1.671176065,103.0
2022-12-16 08:04:25,1.671177865,104.0
2022-12-16 08:34:27,1.671179667,107.0
2022-12-16 09:04:29,1.671181469,106.0
2022-12-16 09:34:29,1.671183269,105.0
2022-12-16 10:04:29,1.671185069,105.0
2022-12-16 10:34:30,1.67118687,102.0
2022-12-16 11:04:32,1.671188672,105.0
2022-12-16 11:34:30,1.67119047,105.0
2022-12-16 12:04:33,1.671192273,104.0
2022-12-16 12:34:32,1.671194072,102.0
2022-12-16 13:04:31,1.671195871,105.0
2022-12-16 13:34:35,1.671197675,3.0
2022-12-16 14:04:34,1.671199474,105.0
2022-12-16 14:34:34,1.671201274,105.0
2022-12-16 15:04:35,1.671203075,43.0
2022-12-16 15:34:35,1.671204875,102.0
2022-12-16 16:04:31,1.671206671,102.0
2022-12-16 16:34:36,1.671208476,105.0
2022-12-16 17:04:32,1.671210272,105.0
2022-12-16 17:34:31,1.671212071,133.0
2022-12-16 18:04:31,1.671213871,100.0
2022-12-16 18:34:35,1.671215675,105.0
2022-12-16 19:04:32,1.671217472,106.0
2022-12-16 19:34:29,1.671219269,102.0
2022-12-16 20:04:29,1.671221069,107.0
2022-12-16 20:34:27,1.671222867,107.0
2022-12-16 21:04:24,1.671224664,108.0
2022-12-16 21:34:25,1.671226465,107.0
2022-12-16 22:04:26,1.671228266,106.0
2022-12-16 22:34:26,1.671230066,105.0
2022-12-16 23:04:25,1.671231865,106.0
2022-12-16 23:34:23,1.671233663,105.0
2022-12-17 00:04:21,1.671235461,107.0
2022-12-17 00:34:23,1.671237263,106.0
2022-12-17 01:04:20,1.67123906,104.0
2022-12-17 01:34:22,1.671240862,103.0
2022-12-17 02:04:23,1.671242663,102.0
2022-12-17 02:34:21,1.671244461,103.0
2022-12-17 03:04:23,1.671246263,106.0
2022-12-17 03:34:25,1.671248065,107.0
2022-12-17 04:04:22,1.671249862,102.0
2022-12-17 04:34:23,1.671251663,102.0
2022-12-17 05:04:20,1.67125346,108.0
2022-12-17 05:34:22,1.671255262,104.0
2022-12-17 06:04:24,1.671257064,100.0
2022-12-17 06:34:21,1.671258861,97.0
2022-12-17 07:04:23,1.671260663,99.0
2022-12-17 07:34:26,1.671262466,115.0
2022-12-17 08:04:24,1.671264264,101.0
2022-12-17 08:34:24,1.671266064,101.0
2022-12-17 09:04:25,1.671267865,105.0
2022-12-17 09:34:27,1.671269667,99.0
2022-12-17 10:04:30,1.67127147,103.0
2022-12-17 10:34:30,1.67127327,99.0
2022-12-17 11:04:31,1.671275071,95.0
2022-12-17 11:34:28,1.671276868,101.0
2022-12-17 12:04:31,1.671278671,104.0
2022-12-17 12:34:33,1.671280473,106.0
2022-12-17 13:04:31,1.671282271,102.0
2022-12-17 13:34:29,1.671284069,104.0
2022-12-17 14:04:32,1.671285872,103.0
2022-12-17 14:34:31,1.671287671,103.0
2022-12-17 15:04:34,1.671289474,104.0
2022-12-17 15:34:33,1.671291273,111.0
2022-12-17 16:04:32,1.671293072,117.0
2022-12-17 16:34:31,1.671294871,3.0
2022-12-17 17:04:35,1.671296675,112.0
2022-12-17 17:34:34,1.671298474,3.0
2022-12-17 18:04:32,1.671300272,104.0
2022-12-17 18:34:30,1.67130207,99.0
2022-12-17 19:04:33,1.671303873,97.0
2022-12-17 19:34:29,1.671305669,109.0
2022-12-17 20:04:28,1.671307468,111.0
2022-12-17 20:34:24,1.671309264,112.0
2022-12-17 21:04:24,1.671311064,115.0
2022-12-17 21:34:24,1.671312864,114.0
2022-12-17 22:04:22,1.671314662,119.0
2022-12-17 22:34:25,1.671316465,108.0
2022-12-17 23:04:22,1.671318262,106.0
2022-12-17 23:34:24,1.671320064,107.0
2022-12-18 00:04:21,1.671321861,106.0
2022-12-18 00:34:22,1.671323662,107.0
2022-12-18 01:04:23,1.671325463,107.0
2022-12-18 01:34:23,1.671327263,106.0
2022-12-18 02:04:23,1.671329063,106.0
2022-12-18 02:34:23,1.671330863,103.0
2022-12-18 03:04:18,1.671332658,103.0
2022-12-18 03:34:23,1.671334463,105.0
2022-12-18 04:04:23,1.671336263,105.0
2022-12-18 04:34:22,1.671338062,108.0
2022-12-18 05:04:21,1.671339861,108.0
2022-12-18 05:34:21,1.671341661,105.0
2022-12-18 06:04:21,1.671343461,108.0
2022-12-18 06:34:22,1.671345262,111.0
2022-12-18 07:04:24,1.671347064,103.0
2022-12-18 07:34:24,1.671348864,104.0
2022-12-18 08:04:26,1.671350666,107.0
2022-12-18 08:34:29,1.671352469,106.0
2022-12-18 09:04:28,1.671354268,104.0
2022-12-18 09:34:29,1.671356069,100.0
2022-12-18 10:04:30,1.67135787,108.0
2022-12-18 10:34:32,1.671359672,103.0
2022-12-18 11:04:31,1.671361471,105.0
2022-12-18 11:34:35,1.671363275,103.0
2022-12-18 12:04:35,1.671365075,96.0
2022-12-18 12:34:35,1.671366875,112.0
2022-12-18 13:04:34,1.671368674,118.0
2022-12-18 13:34:34,1.671370474,3.0
2022-12-18 14:04:35,1.671372275,100.0
2022-12-18 14:34:32,1.671374072,104.0
2022-12-18 15:04:33,1.671375873,101.0
2022-12-18 15:34:34,1.671377674,3.0
2022-12-18 16:04:35,1.671379475,119.0
2022-12-18 16:34:36,1.671381276,108.0
2022-12-18 17:04:32,1.671383072,95.0
2022-12-18 17:34:32,1.671384872,106.0
2022-12-18 18:04:31,1.671386671,120.0
2022-12-18 18:34:36,1.671388476,97.0
2022-12-18 19:04:30,1.67139027,95.0
2022-12-18 19:34:34,1.671392074,95.0
2022-12-18 20:04:30,1.67139387,97.0
2022-12-18 20:34:29,1.671395669,96.0
2022-12-18 21:04:26,1.671397466,119.0
2022-12-18 21:34:27,1.671399267,114.0
2022-12-18 22:04:23,1.671401063,107.0
2022-12-18 22:34:28,1.671402868,103.0
2022-12-18 23:04:23,1.671404663,106.0
2022-12-18 23:34:23,1.671406463,105.0
2022-12-19 00:04:26,1.671408266,104.0
2022-12-19 00:34:25,1.671410065,105.0
2022-12-19 01:04:23,1.671411863,104.0
2022-12-19 01:34:21,1.671413661,106.0
2022-12-19 02:04:24,1.671415464,104.0
2022-12-19 02:34:21,1.671417261,105.0
2022-12-19 03:04:23,1.671419063,105.0
2022-12-19 03:34:25,1.671420865,212.0
2022-12-19 04:04:21,1.671422661,106.0
2022-12-19 04:34:22,1.671424462,105.0
2022-12-19 05:04:23,1.671426263,104.0
2022-12-19 05:34:20,1.67142806,180.0
2022-12-19 06:04:21,1.671429861,193.0
2022-12-19 06:34:23,1.671431663,173.0
2022-12-19 07:04:26,1.671433466,98.0
2022-12-19 07:34:27,1.671435267,118.0
2022-12-19 08:04:29,1.671437069,103.0
2022-12-19 08:34:29,1.671438869,96.0
2022-12-19 09:04:29,1.671440669,99.0
2022-12-19 09:34:31,1.671442471,94.0
2022-12-19 10:04:34,1.671444274,101.0
2022-12-19 10:34:33,1.671446073,97.0
2022-12-19 11:04:34,1.671447874,104.0
2022-12-19 11:34:36,1.671449676,134.0
2022-12-19 12:04:34,1.671451474,119.0
2022-12-19 12:34:37,1.671453277,104.0
2022-12-19 13:04:35,1.671455075,104.0
2022-12-19 13:34:38,1.671456878,111.0
2022-12-19 14:04:37,1.671458677,103.0
2022-12-19 14:34:36,1.671460476,4.0
2022-12-19 15:04:36,1.671462276,118.0
2022-12-19 15:34:35,1.671464075,3.0
2022-12-19 16:04:40,1.67146588,97.0
2022-12-19 16:34:35,1.671467675,134.0
2022-12-19 17:04:39,1.671469479,3.0
2022-12-19 17:34:37,1.671471277,119.0
2022-12-19 18:04:35,1.671473075,3.0
2022-12-19 18:34:38,1.671474878,2.0
2022-12-19 19:04:35,1.671476675,3.0
2022-12-19 19:34:36,1.671478476,3.0
2022-12-19 20:04:30,1.67148027,105.0
2022-12-19 20:34:31,1.671482071,98.0
2022-12-19 21:04:26,1.671483866,99.0
2022-12-19 21:34:30,1.67148567,148.0
2022-12-19 22:04:28,1.671487468,107.0
2022-12-19 22:34:25,1.671489265,129.0
2022-12-19 23:04:27,1.671491067,160.0
2022-12-19 23:34:24,1.671492864,171.0
2022-12-20 00:04:25,1.671494665,167.0
2022-12-20 00:34:25,1.671496465,110.0
2022-12-20 01:04:26,1.671498266,176.0
2022-12-20 01:34:26,1.671500066,110.0
2022-12-20 02:04:26,1.671501866,108.0
2022-12-20 02:34:26,1.671503666,112.0
2022-12-20 03:04:25,1.671505465,111.0
2022-12-20 03:34:25,1.671507265,149.0
2022-12-20 04:04:25,1.671509065,105.0
2022-12-20 04:34:24,1.671510864,3.0
2022-12-20 05:04:24,1.671512664,109.0
2022-12-20 05:34:23,1.671514463,98.0
2022-12-20 06:04:22,1.671516262,106.0
2022-12-20 06:34:26,1.671518066,98.0
2022-12-20 07:04:27,1.671519867,101.0
2022-12-20 07:34:30,1.67152167,96.0
2022-12-20 08:04:29,1.671523469,98.0
2022-12-20 08:34:29,1.671525269,95.0
2022-12-20 09:04:31,1.671527071,94.0
2022-12-20 09:34:30,1.67152887,152.0
2022-12-20 10:04:35,1.671530675,119.0
2022-12-20 10:34:36,1.671532476,111.0
2022-12-20 11:04:33,1.671534273,116.0
2022-12-20 11:34:36,1.671536076,104.0
2022-12-20 12:04:34,1.671537874,3.0
2022-12-20 12:34:38,1.671539678,115.0
2022-12-20 13:04:38,1.671541478,103.0
2022-12-20 13:34:38,1.671543278,3.0
2022-12-20 14:04:38,1.671545078,3.0
2022-12-20 14:34:39,1.671546879,103.0
2022-12-20 15:04:39,1.671548679,107.0
2022-12-20 15:34:35,1.671550475,105.0
2022-12-20 16:04:36,1.671552276,119.0
2022-12-20 16:34:37,1.671554077,3.0
2022-12-20 17:04:37,1.671555877,116.0
2022-12-20 17:34:38,1.671557678,110.0
2022-12-20 18:04:37,1.671559477,3.0
2022-12-20 18:34:36,1.671561276,3.0
2022-12-20 19:04:35,1.671563075,95.0
2022-12-20 19:34:37,1.671564877,95.0
2022-12-20 20:04:32,1.671566672,3.0
2022-12-20 20:34:29,1.671568469,3.0
2022-12-20 21:04:29,1.671570269,104.0
2022-12-20 21:34:28,1.671572068,157.0
2022-12-20 22:04:27,1.671573867,182.0
2022-12-20 22:34:29,1.671575669,2.0
2022-12-20 23:04:27,1.671577467,116.0
2022-12-20 23:34:29,1.671579269,3.0
2022-12-21 00:04:25,1.671581065,116.0
2022-12-21 00:34:26,1.671582866,121.0
2022-12-21 01:04:27,1.671584667,117.0
2022-12-21 01:34:24,1.671586464,111.0
2022-12-21 02:04:24,1.671588264,125.0
2022-12-21 02:34:25,1.671590065,112.0
2022-12-21 03:04:25,1.671591865,133.0
2022-12-21 03:34:25,1.671593665,98.0
2022-12-21 04:04:24,1.671595464,123.0
2022-12-21 04:34:24,1.671597264,3.0
2022-12-21 05:04:23,1.671599063,98.0
2022-12-21 05:34:28,1.671600868,154.0
2022-12-21 06:04:23,1.671602663,113.0
2022-12-21 06:34:27,1.671604467,94.0
2022-12-21 07:04:28,1.671606268,97.0
2022-12-21 07:34:26,1.671608066,118.0
2022-12-21 08:04:31,1.671609871,154.0
2022-12-21 08:34:31,1.671611671,116.0
2022-12-21 09:04:29,1.671613469,96.0
2022-12-21 09:34:32,1.671615272,103.0
2022-12-21 10:04:32,1.671617072,104.0
2022-12-21 10:34:33,1.671618873,98.0
2022-12-21 11:04:35,1.671620675,144.0
2022-12-21 11:34:38,1.671622478,93.0
2022-12-21 12:04:38,1.671624278,113.0
2022-12-21 12:34:37,1.671626077,3.0
2022-12-21 13:04:38,1.671627878,104.0
2022-12-21 13:34:38,1.671629678,122.0
2022-12-21 14:04:38,1.671631478,2.0
2022-12-21 14:34:38,1.671633278,3.0
2022-12-21 15:04:39,1.671635079,119.0
2022-12-21 15:34:40,1.67163688,3.0
2022-12-21 16:04:35,1.671638675,102.0
2022-12-21 16:34:36,1.671640476,93.0
2022-12-21 17:04:36,1.671642276,98.0
2022-12-21 17:34:36,1.671644076,100.0
2022-12-21 18:04:34,1.671645874,94.0
2022-12-21 18:34:37,1.671647677,3.0
2022-12-21 19:04:35,1.671649475,92.0
2022-12-21 19:34:36,1.671651276,94.0
2022-12-21 20:04:32,1.671653072,3.0
2022-12-21 20:34:30,1.67165487,121.0
2022-12-21 21:04:32,1.671656672,117.0
2022-12-21 21:34:27,1.671658467,96.0
2022-12-21 22:04:31,1.671660271,95.0
2022-12-21 22:34:29,1.671662069,3.0
2022-12-21 23:04:27,1.671663867,2.0
2022-12-21 23:34:25,1.671665665,110.0
2022-12-22 00:04:27,1.671667467,109.0
2022-12-22 00:34:25,1.671669265,110.0
2022-12-22 01:04:27,1.671671067,109.0
2022-12-22 01:34:28,1.671672868,112.0
2022-12-22 02:04:25,1.671674665,115.0
2022-12-22 02:34:26,1.671676466,118.0
2022-12-22 03:04:26,1.671678266,3.0
2022-12-22 03:34:27,1.671680067,118.0
2022-12-22 04:04:27,1.671681867,200.0
2022-12-22 04:34:27,1.671683667,102.0
2022-12-22 05:04:27,1.671685467,175.0
2022-12-22 05:34:26,1.671687266,97.0
2022-12-22 06:04:26,1.671689066,108.0
2022-12-22 06:34:26,1.671690866,180.0
2022-12-22 07:04:27,1.671692667,109.0
2022-12-22 07:34:26,1.671694466,97.0
2022-12-22 08:04:31,1.671696271,108.0
2022-12-22 08:34:28,1.671698068,93.0
2022-12-22 09:04:31,1.671699871,94.0
2022-12-22 09:34:35,1.671701675,92.0
2022-12-22 10:04:35,1.671703475,91.0
2022-12-22 10:34:36,1.671705276,94.0
2022-12-22 11:04:34,1.671707074,92.0
2022-12-22 11:34:38,1.671708878,93.0
2022-12-22 12:04:38,1.671710678,91.0
2022-12-22 12:34:38,1.671712478,3.0
2022-12-22 13:04:39,1.671714279,3.0
2022-12-22 13:34:41,1.671716081,131.0
2022-12-22 14:04:35,1.671717875,3.0
2022-12-22 14:34:34,1.671719674,3.0
2022-12-22 15:04:35,1.671721475,91.0
2022-12-22 15:34:32,1.671723272,95.0
2022-12-22 16:04:34,1.671725074,103.0
2022-12-22 16:34:37,1.671726877,102.0
2022-12-22 17:04:38,1.671728678,90.0
2022-12-22 17:34:38,1.671730478,93.0
2022-12-22 18:04:37,1.671732277,92.0
2022-12-22 18:34:34,1.671734074,93.0
2022-12-22 19:04:36,1.671735876,92.0
2022-12-22 19:34:33,1.671737673,95.0
2022-12-22 20:04:33,1.671739473,97.0
2022-12-22 20:34:32,1.671741272,94.0
2022-12-22 21:04:29,1.671743069,102.0
2022-12-22 21:34:31,1.671744871,101.0
2022-12-22 22:04:31,1.671746671,121.0
2022-12-22 22:34:31,1.671748471,3.0
2022-12-22 23:04:30,1.67175027,128.0
2022-12-22 23:34:29,1.671752069,3.0
2022-12-23 00:04:28,1.671753868,149.0
2022-12-23 00:34:26,1.671755666,120.0
2022-12-23 01:04:29,1.671757469,122.0
2022-12-23 01:34:26,1.671759266,105.0
2022-12-23 02:04:28,1.671761068,117.0
2022-12-23 02:34:25,1.671762865,123.0
2022-12-23 03:04:26,1.671764666,103.0
2022-12-23 03:34:26,1.671766466,116.0
2022-12-23 04:04:28,1.671768268,107.0
2022-12-23 04:34:24,1.671770064,96.0
2022-12-23 05:04:25,1.671771865,101.0
2022-12-23 05:34:27,1.671773667,100.0
2022-12-23 06:04:28,1.671775468,94.0
2022-12-23 06:34:25,1.671777265,96.0
2022-12-23 07:04:28,1.671779068,110.0
2022-12-23 07:34:28,1.671780868,90.0
2022-12-23 08:04:28,1.671782668,91.0
2022-12-23 08:34:28,1.671784468,95.0
2022-12-23 09:04:30,1.67178627,92.0
2022-12-23 09:34:33,1.671788073,94.0
2022-12-23 10:04:33,1.671789873,4.0
2022-12-23 10:34:33,1.671791673,92.0
2022-12-23 11:04:31,1.671793471,96.0
2022-12-23 11:34:32,1.671795272,95.0
2022-12-23 12:04:27,1.671797067,91.0
2022-12-23 12:34:33,1.671798873,94.0
2022-12-23 13:04:31,1.671800671,92.0
2022-12-23 13:34:35,1.671802475,95.0
2022-12-23 14:04:30,1.67180427,91.0
2022-12-23 14:34:32,1.671806072,94.0
2022-12-23 15:04:30,1.67180787,94.0
