datetime,timelinux,s2
2022-11-17 17:04:39,1.668704679,114.0
2022-11-17 17:34:37,1.668706477,116.0
2022-11-17 18:04:38,1.668708278,112.0
2022-11-17 18:34:38,1.668710078,114.0
2022-11-17 19:04:37,1.668711877,116.0
2022-11-17 19:34:34,1.668713674,3.0
2022-11-17 20:04:33,1.668715473,2.0
2022-11-17 20:34:31,1.668717271,95.0
2022-11-17 21:04:32,1.668719072,2.0
2022-11-17 21:34:28,1.668720868,118.0
2022-11-17 22:04:27,1.668722667,101.0
2022-11-17 22:34:30,1.66872447,107.0
2022-11-17 23:04:28,1.668726268,108.0
2022-11-17 23:34:26,1.668728066,109.0
2022-11-18 00:04:27,1.668729867,107.0
2022-11-18 00:34:25,1.668731665,108.0
2022-11-18 01:04:27,1.668733467,121.0
2022-11-18 01:34:29,1.668735269,108.0
2022-11-18 02:04:27,1.668737067,108.0
2022-11-18 02:34:29,1.668738869,107.0
2022-11-18 03:04:27,1.668740667,108.0
2022-11-18 03:34:28,1.668742468,99.0
2022-11-18 04:04:24,1.668744264,107.0
2022-11-18 04:34:24,1.668746064,102.0
2022-11-18 05:04:23,1.668747863,100.0
2022-11-18 05:34:26,1.668749666,108.0
2022-11-18 06:04:24,1.668751464,105.0
2022-11-18 06:34:22,1.668753262,3.0
2022-11-18 07:04:27,1.668755067,120.0
2022-11-18 07:34:30,1.66875687,118.0
2022-11-18 08:04:30,1.66875867,118.0
2022-11-18 08:34:32,1.668760472,3.0
2022-11-18 09:04:31,1.668762271,99.0
2022-11-18 09:34:33,1.668764073,98.0
2022-11-18 10:04:35,1.668765875,3.0
2022-11-18 10:34:39,1.668767679,3.0
2022-11-18 11:04:38,1.668769478,108.0
2022-11-18 11:34:38,1.668771278,113.0
2022-11-18 12:04:39,1.668773079,117.0
2022-11-18 12:34:40,1.66877488,110.0
2022-11-18 13:04:36,1.668776676,3.0
2022-11-18 13:34:38,1.668778478,3.0
2022-11-18 14:04:40,1.66878028,108.0
2022-11-18 14:34:38,1.668782078,108.0
2022-11-18 15:04:41,1.668783881,108.0
2022-11-18 15:34:40,1.66878568,116.0
2022-11-18 16:04:38,1.668787478,113.0
2022-11-18 16:34:42,1.668789282,108.0
2022-11-18 17:04:40,1.66879108,108.0
2022-11-18 17:34:38,1.668792878,113.0
2022-11-18 18:04:40,1.66879468,110.0
2022-11-18 18:34:37,1.668796477,108.0
2022-11-18 19:04:36,1.668798276,110.0
2022-11-18 19:34:34,1.668800074,103.0
2022-11-18 20:04:34,1.668801874,94.0
2022-11-18 20:34:31,1.668803671,101.0
2022-11-18 21:04:28,1.668805468,101.0
2022-11-18 21:34:27,1.668807267,102.0
2022-11-18 22:04:27,1.668809067,103.0
2022-11-18 22:34:30,1.66881087,102.0
2022-11-18 23:04:29,1.668812669,102.0
2022-11-18 23:34:27,1.668814467,102.0
2022-11-19 00:04:29,1.668816269,102.0
2022-11-19 00:34:28,1.668818068,105.0
2022-11-19 01:04:27,1.668819867,102.0
2022-11-19 01:34:31,1.668821671,101.0
2022-11-19 02:04:31,1.668823471,103.0
2022-11-19 02:34:30,1.66882527,102.0
2022-11-19 03:04:30,1.66882707,103.0
2022-11-19 03:34:28,1.668828868,103.0
2022-11-19 04:04:27,1.668830667,105.0
2022-11-19 04:34:30,1.66883247,106.0
2022-11-19 05:04:27,1.668834267,106.0
2022-11-19 05:34:24,1.668836064,105.0
2022-11-19 06:04:25,1.668837865,107.0
2022-11-19 06:34:25,1.668839665,104.0
2022-11-19 07:04:26,1.668841466,105.0
2022-11-19 07:34:29,1.668843269,106.0
2022-11-19 08:04:31,1.668845071,107.0
2022-11-19 08:34:34,1.668846874,107.0
2022-11-19 09:04:35,1.668848675,117.0
2022-11-19 09:34:37,1.668850477,107.0
2022-11-19 10:04:36,1.668852276,116.0
2022-11-19 10:34:36,1.668854076,118.0
2022-11-19 11:04:38,1.668855878,111.0
2022-11-19 11:34:39,1.668857679,117.0
2022-11-19 12:04:37,1.668859477,112.0
2022-11-19 12:34:39,1.668861279,119.0
2022-11-19 13:04:41,1.668863081,98.0
2022-11-19 13:34:39,1.668864879,105.0
2022-11-19 14:04:42,1.668866682,99.0
2022-11-19 14:34:41,1.668868481,111.0
2022-11-19 15:04:41,1.668870281,115.0
2022-11-19 15:34:41,1.668872081,108.0
2022-11-19 16:04:40,1.66887388,111.0
2022-11-19 16:34:39,1.668875679,102.0
2022-11-19 17:04:38,1.668877478,115.0
2022-11-19 17:34:40,1.66887928,116.0
2022-11-19 18:04:35,1.668881075,119.0
2022-11-19 18:34:38,1.668882878,111.0
2022-11-19 19:04:35,1.668884675,103.0
2022-11-19 19:34:36,1.668886476,97.0
2022-11-19 20:04:30,1.66888827,102.0
2022-11-19 20:34:34,1.668890074,103.0
2022-11-19 21:04:31,1.668891871,117.0
2022-11-19 21:34:29,1.668893669,103.0
2022-11-19 22:04:31,1.668895471,105.0
2022-11-19 22:34:33,1.668897273,103.0
2022-11-19 23:04:29,1.668899069,103.0
2022-11-19 23:34:29,1.668900869,100.0
2022-11-20 00:04:28,1.668902668,105.0
2022-11-20 00:34:27,1.668904467,106.0
2022-11-20 01:04:27,1.668906267,106.0
2022-11-20 01:34:31,1.668908071,107.0
2022-11-20 02:04:31,1.668909871,105.0
2022-11-20 02:34:30,1.66891167,105.0
2022-11-20 03:04:29,1.668913469,106.0
2022-11-20 03:34:27,1.668915267,105.0
2022-11-20 04:04:25,1.668917065,105.0
2022-11-20 04:34:27,1.668918867,107.0
2022-11-20 05:04:25,1.668920665,105.0
2022-11-20 05:34:26,1.668922466,105.0
2022-11-20 06:04:28,1.668924268,103.0
2022-11-20 06:34:25,1.668926065,106.0
2022-11-20 07:04:28,1.668927868,108.0
2022-11-20 07:34:27,1.668929667,99.0
