datetime,timelinux,s1
2023-04-20 20:34:17,1.682022857,103.0
2023-04-20 21:04:20,1.68202466,101.0
2023-04-20 21:34:18,1.682026458,108.0
2023-04-20 22:04:21,1.682028261,104.0
2023-04-20 22:34:19,1.682030059,109.0
2023-04-20 23:04:21,1.682031861,103.0
2023-04-20 23:34:17,1.682033657,109.0
2023-04-21 00:04:18,1.682035458,109.0
2023-04-21 00:34:19,1.682037259,109.0
2023-04-21 01:04:19,1.682039059,109.0
2023-04-21 01:34:15,1.682040855,109.0
2023-04-21 02:04:20,1.68204266,107.0
2023-04-21 02:34:16,1.682044456,108.0
2023-04-21 03:04:16,1.682046256,107.0
2023-04-21 03:34:17,1.682048057,108.0
2023-04-21 04:04:16,1.682049856,106.0
2023-04-21 04:34:16,1.682051656,108.0
2023-04-21 05:04:16,1.682053456,106.0
2023-04-21 05:34:16,1.682055256,107.0
2023-04-21 06:04:16,1.682057056,102.0
2023-04-21 06:34:15,1.682058855,106.0
2023-04-21 07:04:15,1.682060655,105.0
2023-04-21 07:34:19,1.682062459,105.0
2023-04-21 08:04:19,1.682064259,104.0
2023-04-21 08:34:19,1.682066059,108.0
2023-04-21 09:04:17,1.682067857,107.0
2023-04-21 09:34:21,1.682069661,106.0
2023-04-21 10:04:22,1.682071462,108.0
2023-04-21 10:34:24,1.682073264,109.0
2023-04-21 11:04:22,1.682075062,108.0
2023-04-21 11:34:26,1.682076866,108.0
2023-04-21 12:04:25,1.682078665,108.0
2023-04-21 12:34:25,1.682080465,105.0
2023-04-21 13:04:25,1.682082265,106.0
2023-04-21 13:34:26,1.682084066,103.0
2023-04-21 14:04:28,1.682085868,106.0
2023-04-21 14:34:26,1.682087666,107.0
2023-04-21 15:04:29,1.682089469,3.0
2023-04-21 15:34:27,1.682091267,106.0
2023-04-21 16:04:30,1.68209307,107.0
2023-04-21 16:34:29,1.682094869,107.0
2023-04-21 17:04:27,1.682096667,107.0
2023-04-21 17:34:29,1.682098469,111.0
2023-04-21 18:04:25,1.682100265,99.0
2023-04-21 18:34:23,1.682102063,110.0
2023-04-21 19:04:20,1.68210386,114.0
2023-04-21 19:34:21,1.682105661,106.0
2023-04-21 20:04:21,1.682107461,101.0
2023-04-21 20:34:21,1.682109261,105.0
2023-04-21 21:04:21,1.682111061,106.0
2023-04-21 21:34:20,1.68211286,102.0
2023-04-21 22:04:19,1.682114659,100.0
2023-04-21 22:34:18,1.682116458,93.0
2023-04-21 23:04:22,1.682118262,110.0
2023-04-21 23:34:20,1.68212006,107.0
2023-04-22 00:04:18,1.682121858,103.0
2023-04-22 00:34:21,1.682123661,106.0
2023-04-22 01:04:19,1.682125459,109.0
2023-04-22 01:34:21,1.682127261,109.0
2023-04-22 02:04:18,1.682129058,109.0
2023-04-22 02:34:21,1.682130861,107.0
2023-04-22 03:04:18,1.682132658,106.0
2023-04-22 03:34:20,1.68213446,107.0
2023-04-22 04:04:17,1.682136257,107.0
2023-04-22 04:34:18,1.682138058,105.0
2023-04-22 05:04:20,1.68213986,109.0
2023-04-22 05:34:17,1.682141657,111.0
2023-04-22 06:04:19,1.682143459,110.0
2023-04-22 06:34:20,1.68214526,109.0
2023-04-22 07:04:17,1.682147057,109.0
2023-04-22 07:34:19,1.682148859,110.0
2023-04-22 08:04:20,1.68215066,100.0
2023-04-22 08:34:18,1.682152458,99.0
2023-04-22 09:04:21,1.682154261,105.0
2023-04-22 09:34:21,1.682156061,102.0
2023-04-22 10:04:22,1.682157862,103.0
2023-04-22 10:34:24,1.682159664,101.0
2023-04-22 11:04:23,1.682161463,111.0
2023-04-22 11:34:28,1.682163268,114.0
2023-04-22 12:04:25,1.682165065,107.0
2023-04-22 12:34:26,1.682166866,106.0
2023-04-22 13:04:28,1.682168668,110.0
2023-04-22 13:34:25,1.682170465,97.0
2023-04-22 14:04:27,1.682172267,109.0
2023-04-22 14:34:29,1.682174069,117.0
2023-04-22 15:04:26,1.682175866,107.0
2023-04-22 15:34:28,1.682177668,106.0
2023-04-22 16:04:24,1.682179464,105.0
2023-04-22 16:34:25,1.682181265,59.0
2023-04-22 17:04:26,1.682183066,105.0
2023-04-22 17:34:26,1.682184866,106.0
2023-04-22 18:04:25,1.682186665,105.0
2023-04-22 18:34:23,1.682188463,101.0
2023-04-22 19:04:25,1.682190265,108.0
2023-04-22 19:34:22,1.682192062,100.0
2023-04-22 20:04:23,1.682193863,105.0
2023-04-22 20:34:23,1.682195663,106.0
2023-04-22 21:04:19,1.682197459,105.0
2023-04-22 21:34:20,1.68219926,105.0
2023-04-22 22:04:21,1.682201061,105.0
2023-04-22 22:34:21,1.682202861,107.0
2023-04-22 23:04:21,1.682204661,107.0
2023-04-22 23:34:21,1.682206461,106.0
2023-04-23 00:04:19,1.682208259,106.0
2023-04-23 00:34:18,1.682210058,103.0
2023-04-23 01:04:21,1.682211861,108.0
2023-04-23 01:34:19,1.682213659,108.0
2023-04-23 02:04:21,1.682215461,107.0
2023-04-23 02:34:20,1.68221726,104.0
2023-04-23 03:04:18,1.682219058,102.0
2023-04-23 03:34:22,1.682220862,105.0
2023-04-23 04:04:20,1.68222266,103.0
2023-04-23 04:34:19,1.682224459,105.0
2023-04-23 05:04:23,1.682226263,108.0
2023-04-23 05:34:22,1.682228062,103.0
2023-04-23 06:04:21,1.682229861,107.0
2023-04-23 06:34:20,1.68223166,105.0
2023-04-23 07:04:19,1.682233459,108.0
2023-04-23 07:34:23,1.682235263,107.0
2023-04-23 08:04:18,1.682237058,107.0
2023-04-23 08:34:23,1.682238863,104.0
2023-04-23 09:04:23,1.682240663,104.0
2023-04-23 09:34:23,1.682242463,103.0
2023-04-23 10:04:24,1.682244264,106.0
2023-04-23 10:34:21,1.682246061,108.0
2023-04-23 11:04:23,1.682247863,109.0
2023-04-23 11:34:26,1.682249666,108.0
2023-04-23 12:04:25,1.682251465,106.0
2023-04-23 12:34:24,1.682253264,102.0
2023-04-23 13:04:23,1.682255063,102.0
2023-04-23 13:34:27,1.682256867,107.0
2023-04-23 14:04:26,1.682258666,102.0
2023-04-23 14:34:25,1.682260465,103.0
2023-04-23 15:04:25,1.682262265,107.0
2023-04-23 15:34:24,1.682264064,104.0
2023-04-23 16:04:23,1.682265863,104.0
2023-04-23 16:34:23,1.682267663,102.0
2023-04-23 17:04:27,1.682269467,105.0
2023-04-23 17:34:25,1.682271265,86.0
2023-04-23 18:04:23,1.682273063,108.0
2023-04-23 18:34:25,1.682274865,104.0
2023-04-23 19:04:22,1.682276662,106.0
2023-04-23 19:34:24,1.682278464,105.0
2023-04-23 20:04:20,1.68228026,105.0
2023-04-23 20:34:21,1.682282061,107.0
2023-04-23 21:04:23,1.682283863,107.0
2023-04-23 21:34:24,1.682285664,105.0
2023-04-23 22:04:21,1.682287461,106.0
2023-04-23 22:34:22,1.682289262,100.0
2023-04-23 23:04:23,1.682291063,108.0
2023-04-23 23:34:19,1.682292859,107.0
2023-04-24 00:04:24,1.682294664,109.0
2023-04-24 00:34:20,1.68229646,108.0
2023-04-24 01:04:20,1.68229826,108.0
2023-04-24 01:34:20,1.68230006,106.0
2023-04-24 02:04:20,1.68230186,109.0
2023-04-24 02:34:21,1.682303661,109.0
2023-04-24 03:04:21,1.682305461,107.0
2023-04-24 03:34:22,1.682307262,108.0
2023-04-24 04:04:22,1.682309062,106.0
2023-04-24 04:34:23,1.682310863,109.0
2023-04-24 05:04:24,1.682312664,110.0
2023-04-24 05:34:20,1.68231446,110.0
2023-04-24 06:04:20,1.68231626,108.0
2023-04-24 06:34:21,1.682318061,107.0
2023-04-24 07:04:21,1.682319861,108.0
