2024-03-03 00:04:27;1;3;3;3;3;3;2;3;3;2;3;
2024-03-03 00:04:27;2;57;57;57;57;57;57;57;57;57;57;
2024-03-03 00:04:27;3;101;101;101;101;101;101;101;101;101;101;
2024-03-03 00:04:27;ht;57;24.10
2024-03-03 00:04:27;v;4.24
2024-03-03 00:34:28;1;79;79;79;79;79;79;79;79;79;79;
2024-03-03 00:34:28;2;59;59;59;59;59;59;59;59;59;59;
2024-03-03 00:34:28;3;102;102;102;102;102;102;102;102;102;103;
2024-03-03 00:34:28;ht;56;24.00
2024-03-03 00:34:28;v;4.24
2024-03-03 01:04:25;1;82;82;82;82;82;82;82;82;82;82;
2024-03-03 01:04:25;2;73;73;73;73;73;73;73;73;73;73;
2024-03-03 01:04:25;3;69;69;69;69;69;69;69;69;69;69;
2024-03-03 01:04:25;ht;53;24.00
2024-03-03 01:04:25;v;4.24
2024-03-03 01:34:26;1;105;105;105;106;105;105;105;105;105;105;
2024-03-03 01:34:26;2;97;97;97;97;97;97;97;97;97;97;
2024-03-03 01:34:26;3;85;85;85;85;85;85;86;86;85;85;
2024-03-03 01:34:26;ht;57;23.90
2024-03-03 01:34:26;v;4.24
2024-03-03 02:04:27;1;106;106;106;106;106;106;106;106;106;106;
2024-03-03 02:04:27;2;50;50;50;50;50;50;50;50;50;50;
2024-03-03 02:04:27;3;71;71;71;71;71;71;71;71;71;71;
2024-03-03 02:04:27;ht;56;23.70
2024-03-03 02:04:27;v;4.24
2024-03-03 02:34:24;1;73;73;73;73;73;73;73;73;73;73;
2024-03-03 02:34:24;2;105;105;105;106;105;105;105;105;105;105;
2024-03-03 02:34:24;3;67;67;67;67;67;67;67;67;67;67;
2024-03-03 02:34:24;ht;57;23.50
2024-03-03 02:34:24;v;4.24
2024-03-03 03:04:24;1;72;72;72;72;72;72;72;73;72;72;
2024-03-03 03:04:24;2;50;50;50;50;50;50;50;50;50;50;
2024-03-03 03:04:24;3;3;3;3;3;3;3;3;2;3;3;
2024-03-03 03:04:24;ht;53;23.50
2024-03-03 03:04:24;v;4.24
2024-03-03 03:34:25;1;111;111;111;111;111;111;111;111;111;111;
2024-03-03 03:34:25;2;50;50;50;50;50;50;50;50;50;50;
2024-03-03 03:34:25;3;3;3;3;3;3;3;3;3;3;3;
2024-03-03 03:34:25;ht;62;23.40
2024-03-03 03:34:25;v;4.23
2024-03-03 04:04:26;1;72;72;72;72;72;72;72;72;72;72;
2024-03-03 04:04:26;2;68;68;68;68;68;68;68;68;68;68;
